accuracy,f1,precision,recall,model,dataset_type,dataset_size,lang,time,GPU
0.93,0.86562,0.908425,0.826667,bert-base-multilingual-uncased,chemia,small,PL,530,T4
0.927273,0.857651,0.919847,0.803333,bert-base-multilingual-uncased,chemia,small,PL,421,T4
0.926364,0.852995,0.936255,0.783333,bert-base-multilingual-uncased,chemia,small,PL,408,T4
0.950909,0.906574,0.942446,0.873333,bert-base-multilingual-uncased,chemia,medium,PL,943,T4
0.956364,0.92,0.92,0.92,bert-base-multilingual-uncased,chemia,medium,PL,950,T4
0.944545,0.896785,0.910653,0.883333,bert-base-multilingual-uncased,chemia,medium,PL,975,T4
0.967273,0.940199,0.937086,0.943333,bert-base-multilingual-uncased,chemia,large,PL,1576,T4
0.963636,0.93266,0.942177,0.923333,bert-base-multilingual-uncased,chemia,large,PL,1598,T4
0.962727,0.929915,0.954386,0.906667,bert-base-multilingual-uncased,chemia,large,PL,1560,T4
0.913636,0.846029,0.823344,0.87,bert-base-multilingual-uncased,napoje,small,PL,396,T4
0.923636,0.856655,0.877622,0.836667,bert-base-multilingual-uncased,napoje,small,PL,383,T4
0.918182,0.848993,0.85473,0.843333,bert-base-multilingual-uncased,napoje,small,PL,377,T4
0.933636,0.883573,0.847095,0.923333,bert-base-multilingual-uncased,napoje,medium,PL,750,T4
0.944545,0.901771,0.872274,0.933333,bert-base-multilingual-uncased,napoje,medium,PL,752,T4
0.933636,0.88855,0.819718,0.97,bert-base-multilingual-uncased,napoje,medium,PL,757,T4
0.944545,0.897822,0.902357,0.893333,bert-base-multilingual-uncased,napoje,large,PL,1231,T4
0.939091,0.889621,0.879479,0.9,bert-base-multilingual-uncased,napoje,large,PL,1292,T4
0.94,0.886986,0.911972,0.863333,bert-base-multilingual-uncased,napoje,large,PL,1366,T4
0.922727,0.851658,0.893773,0.813333,bert-base-multilingual-uncased,all,small,PL,651,T4
0.922273,0.852204,0.885099,0.821667,bert-base-multilingual-uncased,all,small,PL,648,T4
0.927273,0.863014,0.887324,0.84,bert-base-multilingual-uncased,all,small,PL,644,T4
0.937273,0.885572,0.881188,0.89,bert-base-multilingual-uncased,all,medium,PL,1666,T4
0.937273,0.881239,0.911032,0.853333,bert-base-multilingual-uncased,all,medium,PL,1688,T4
